train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
other,25027.2,16381.8,4,2,cv_glmnet,2.47116968698517
other,25027.2,25027.2,4,2,cv_glmnet,2.8555738605162
other,25027.2,4095.45,4,3,cv_glmnet,3.02031850631521
other,25027.2,8190.9,4,3,cv_glmnet,3.02031850631521
other,25027.2,16381.8,4,3,cv_glmnet,2.9104887424492
other,25027.2,25027.2,4,3,cv_glmnet,2.74574409665019
other,16381.8,4095.45,4,1,cv_glmnet,2.69687162891046
other,16381.8,8190.9,4,1,cv_glmnet,2.37324703344121
other,16381.8,16381.8,4,1,cv_glmnet,2.30133045667026
other,16381.8,4095.45,4,2,cv_glmnet,2.62495505213952
other,16381.8,8190.9,4,2,cv_glmnet,2.1215390147429
other,16381.8,16381.8,4,2,cv_glmnet,2.26537216828479
other,16381.8,4095.45,4,3,cv_glmnet,2.37324703344121
other,16381.8,8190.9,4,3,cv_glmnet,2.30133045667026
other,16381.8,16381.8,4,3,cv_glmnet,2.30133045667026
other,25027.2,4095.45,5,1,cv_glmnet,2.58099945085118
other,25027.2,8190.9,5,1,cv_glmnet,2.52608456891818
other,25027.2,16381.8,5,1,cv_glmnet,2.47116968698517
other,25027.2,25027.2,5,1,cv_glmnet,2.41625480505217
other,25027.2,4095.45,5,2,cv_glmnet,2.9104887424492
other,25027.2,8190.9,5,2,cv_glmnet,2.58099945085118
other,25027.2,16381.8,5,2,cv_glmnet,2.58099945085118
other,25027.2,25027.2,5,2,cv_glmnet,2.52608456891818
other,25027.2,4095.45,5,3,cv_glmnet,2.69082921471719
other,25027.2,8190.9,5,3,cv_glmnet,2.69082921471719
other,25027.2,16381.8,5,3,cv_glmnet,2.47116968698517
other,25027.2,25027.2,5,3,cv_glmnet,2.63591433278418
other,16381.8,4095.45,5,1,cv_glmnet,3.09241280115067
other,16381.8,8190.9,5,1,cv_glmnet,2.58899676375405
other,16381.8,16381.8,5,1,cv_glmnet,2.62495505213952
other,16381.8,4095.45,5,2,cv_glmnet,2.48112189859763
other,16381.8,8190.9,5,2,cv_glmnet,2.73282991729594
other,16381.8,16381.8,5,2,cv_glmnet,2.5170801869831
other,16381.8,4095.45,5,3,cv_glmnet,3.09241280115067
other,16381.8,8190.9,5,3,cv_glmnet,2.58899676375405
other,16381.8,16381.8,5,3,cv_glmnet,2.66091334052499
other,25027.2,4095.45,6,1,cv_glmnet,2.74574409665019
other,25027.2,8190.9,6,1,cv_glmnet,2.69082921471719
other,25027.2,16381.8,6,1,cv_glmnet,2.74574409665019
other,25027.2,25027.2,6,1,cv_glmnet,2.69082921471719
other,25027.2,4095.45,6,2,cv_glmnet,2.9104887424492
other,25027.2,8190.9,6,2,cv_glmnet,2.63591433278418
other,25027.2,16381.8,6,2,cv_glmnet,2.8006589785832
other,25027.2,25027.2,6,2,cv_glmnet,2.9104887424492
other,25027.2,4095.45,6,3,cv_glmnet,2.74574409665019
other,25027.2,8190.9,6,3,cv_glmnet,2.63591433278418
other,25027.2,16381.8,6,3,cv_glmnet,2.69082921471719
other,25027.2,25027.2,6,3,cv_glmnet,2.74574409665019
other,16381.8,4095.45,6,1,cv_glmnet,3.09241280115067
other,16381.8,8190.9,6,1,cv_glmnet,2.76878820568141
other,16381.8,16381.8,6,1,cv_glmnet,2.84070478245236
other,16381.8,4095.45,6,2,cv_glmnet,2.80474649406688
other,16381.8,8190.9,6,2,cv_glmnet,2.84070478245236
other,16381.8,16381.8,6,2,cv_glmnet,2.84070478245236
other,16381.8,4095.45,6,3,cv_glmnet,2.76878820568141
other,16381.8,8190.9,6,3,cv_glmnet,2.73282991729594
other,16381.8,16381.8,6,3,cv_glmnet,2.73282991729594
other,25027.2,4095.45,7,1,cv_glmnet,2.47388675096207
other,25027.2,8190.9,7,1,cv_glmnet,2.41891148982958
other,25027.2,16381.8,7,1,cv_glmnet,2.36393622869709
other,25027.2,25027.2,7,1,cv_glmnet,2.41891148982958
other,25027.2,4095.45,7,2,cv_glmnet,2.58383727322705
other,25027.2,8190.9,7,2,cv_glmnet,2.41891148982958
other,25027.2,16381.8,7,2,cv_glmnet,2.47388675096207
other,25027.2,25027.2,7,2,cv_glmnet,2.3089609675646
other,25027.2,4095.45,7,3,cv_glmnet,2.69378779549203
other,25027.2,8190.9,7,3,cv_glmnet,2.47388675096207
other,25027.2,16381.8,7,3,cv_glmnet,2.36393622869709
other,25027.2,25027.2,7,3,cv_glmnet,2.3089609675646
other,16381.8,4095.45,7,1,cv_glmnet,3.02049622437972
other,16381.8,8190.9,7,1,cv_glmnet,2.94857964760877
other,16381.8,16381.8,7,1,cv_glmnet,2.66091334052499
other,16381.8,4095.45,7,2,cv_glmnet,2.84070478245236
other,16381.8,8190.9,7,2,cv_glmnet,2.66091334052499
other,16381.8,16381.8,7,2,cv_glmnet,2.66091334052499
other,16381.8,4095.45,7,3,cv_glmnet,2.73282991729594
other,16381.8,8190.9,7,3,cv_glmnet,2.76878820568141
other,16381.8,16381.8,7,3,cv_glmnet,2.69687162891046
other,25027.2,4095.45,8,1,cv_glmnet,3.07861462341946
other,25027.2,8190.9,8,1,cv_glmnet,2.69378779549203
other,25027.2,16381.8,8,1,cv_glmnet,2.63881253435954
other,25027.2,25027.2,8,1,cv_glmnet,2.8587135788895
other,25027.2,4095.45,8,2,cv_glmnet,3.02363936228697
other,25027.2,8190.9,8,2,cv_glmnet,2.80373831775701
other,25027.2,16381.8,8,2,cv_glmnet,2.80373831775701
other,25027.2,25027.2,8,2,cv_glmnet,2.74876305662452
other,25027.2,4095.45,8,3,cv_glmnet,3.02363936228697
other,25027.2,8190.9,8,3,cv_glmnet,2.91368884002199
other,25027.2,16381.8,8,3,cv_glmnet,2.80373831775701
other,25027.2,25027.2,8,3,cv_glmnet,2.8587135788895
other,16381.8,4095.45,8,1,cv_glmnet,2.58992805755396
other,16381.8,8190.9,8,1,cv_glmnet,2.3021582733813
other,16381.8,16381.8,8,1,cv_glmnet,2.19424460431655
other,16381.8,4095.45,8,2,cv_glmnet,2.44604316546763
other,16381.8,8190.9,8,2,cv_glmnet,2.23021582733813
other,16381.8,16381.8,8,2,cv_glmnet,2.19424460431655
other,16381.8,4095.45,8,3,cv_glmnet,2.76978417266187
other,16381.8,8190.9,8,3,cv_glmnet,2.44604316546763
other,16381.8,16381.8,8,3,cv_glmnet,2.19424460431655
other,25027.2,4095.45,9,1,cv_glmnet,2.8587135788895
other,25027.2,8190.9,9,1,cv_glmnet,2.91368884002199
other,25027.2,16381.8,9,1,cv_glmnet,3.02363936228697
other,25027.2,25027.2,9,1,cv_glmnet,2.52886201209456
other,25027.2,4095.45,9,2,cv_glmnet,2.96866410115448
other,25027.2,8190.9,9,2,cv_glmnet,2.96866410115448
other,25027.2,16381.8,9,2,cv_glmnet,2.91368884002199
other,25027.2,25027.2,9,2,cv_glmnet,2.52886201209456
other,25027.2,4095.45,9,3,cv_glmnet,2.80373831775701
other,25027.2,8190.9,9,3,cv_glmnet,2.96866410115448
other,25027.2,16381.8,9,3,cv_glmnet,2.91368884002199
other,25027.2,25027.2,9,3,cv_glmnet,2.58383727322705
other,16381.8,4095.45,9,1,cv_glmnet,3.05755395683453
other,16381.8,8190.9,9,1,cv_glmnet,2.15827338129496
other,16381.8,16381.8,9,1,cv_glmnet,2.19424460431655
other,16381.8,4095.45,9,2,cv_glmnet,2.41007194244604
other,16381.8,8190.9,9,2,cv_glmnet,2.15827338129496
other,16381.8,16381.8,9,2,cv_glmnet,2.15827338129496
other,16381.8,4095.45,9,3,cv_glmnet,2.23021582733813
other,16381.8,8190.9,9,3,cv_glmnet,2.19424460431655
other,16381.8,16381.8,9,3,cv_glmnet,2.15827338129496
other,25027.2,4095.45,10,1,cv_glmnet,2.96866410115448
other,25027.2,8190.9,10,1,cv_glmnet,1.92413413963716
other,25027.2,16381.8,10,1,cv_glmnet,2.14403518416712
other,25027.2,25027.2,10,1,cv_glmnet,1.81418361737218
other,25027.2,4095.45,10,2,cv_glmnet,2.3089609675646
other,25027.2,8190.9,10,2,cv_glmnet,2.03408466190214
other,25027.2,16381.8,10,2,cv_glmnet,1.97910940076965
other,25027.2,25027.2,10,2,cv_glmnet,2.08905992303463
other,25027.2,4095.45,10,3,cv_glmnet,2.63881253435954
other,25027.2,8190.9,10,3,cv_glmnet,2.25398570643211
other,25027.2,16381.8,10,3,cv_glmnet,2.03408466190214
other,25027.2,25027.2,10,3,cv_glmnet,1.92413413963716
other,16381.8,4095.45,10,1,cv_glmnet,2.69784172661871
other,16381.8,8190.9,10,1,cv_glmnet,2.87769784172662
other,16381.8,16381.8,10,1,cv_glmnet,2.98561151079137
other,16381.8,4095.45,10,2,cv_glmnet,2.66187050359712
other,16381.8,8190.9,10,2,cv_glmnet,2.66187050359712
other,16381.8,16381.8,10,2,cv_glmnet,2.9136690647482
other,16381.8,4095.45,10,3,cv_glmnet,3.05755395683453
other,16381.8,8190.9,10,3,cv_glmnet,2.94964028776978
other,16381.8,16381.8,10,3,cv_glmnet,2.87769784172662
same,16381.8,4095.45,1,1,cv_glmnet,2.30642504118616
same,16381.8,8190.9,1,1,cv_glmnet,2.52608456891818
same,16381.8,16381.8,1,1,cv_glmnet,2.41625480505217
same,16381.8,4095.45,1,2,cv_glmnet,2.96540362438221
same,16381.8,8190.9,1,2,cv_glmnet,2.41625480505217
same,16381.8,16381.8,1,2,cv_glmnet,2.41625480505217
same,16381.8,4095.45,1,3,cv_glmnet,2.41625480505217
same,16381.8,8190.9,1,3,cv_glmnet,2.41625480505217
same,16381.8,16381.8,1,3,cv_glmnet,2.41625480505217
same,25027.2,4095.45,1,1,cv_glmnet,3.05535585909418
same,25027.2,8190.9,1,1,cv_glmnet,2.62401150251618
same,25027.2,16381.8,1,1,cv_glmnet,2.55212077641984
same,25027.2,25027.2,1,1,cv_glmnet,2.51617541337168
same,25027.2,4095.45,1,2,cv_glmnet,2.55212077641984
same,25027.2,8190.9,1,2,cv_glmnet,2.51617541337168
same,25027.2,16381.8,1,2,cv_glmnet,2.55212077641984
same,25027.2,25027.2,1,2,cv_glmnet,2.51617541337168
same,25027.2,4095.45,1,3,cv_glmnet,3.09130122214234
same,25027.2,8190.9,1,3,cv_glmnet,2.69590222861251
same,25027.2,16381.8,1,3,cv_glmnet,2.62401150251618
same,25027.2,25027.2,1,3,cv_glmnet,2.40833932422717
same,16381.8,4095.45,2,1,cv_glmnet,3.02031850631521
same,16381.8,8190.9,2,1,cv_glmnet,2.74574409665019
same,16381.8,16381.8,2,1,cv_glmnet,2.9104887424492
same,16381.8,4095.45,2,2,cv_glmnet,2.69082921471719
same,16381.8,8190.9,2,2,cv_glmnet,2.69082921471719
same,16381.8,16381.8,2,2,cv_glmnet,2.8006589785832
same,16381.8,4095.45,2,3,cv_glmnet,2.74574409665019
same,16381.8,8190.9,2,3,cv_glmnet,2.8006589785832
same,16381.8,16381.8,2,3,cv_glmnet,2.8555738605162
same,25027.2,4095.45,2,1,cv_glmnet,2.84070478245236
same,25027.2,8190.9,2,1,cv_glmnet,2.69687162891046
same,25027.2,16381.8,2,1,cv_glmnet,2.66091334052499
same,25027.2,25027.2,2,1,cv_glmnet,2.44516361021215
same,25027.2,4095.45,2,2,cv_glmnet,3.09241280115067
same,25027.2,8190.9,2,2,cv_glmnet,2.80474649406688
same,25027.2,16381.8,2,2,cv_glmnet,2.62495505213952
same,25027.2,25027.2,2,2,cv_glmnet,2.44516361021215
same,25027.2,4095.45,2,3,cv_glmnet,2.9126213592233
same,25027.2,8190.9,2,3,cv_glmnet,2.87666307083783
same,25027.2,16381.8,2,3,cv_glmnet,2.73282991729594
same,25027.2,25027.2,2,3,cv_glmnet,2.44516361021215
same,16381.8,4095.45,3,1,cv_glmnet,2.58099945085118
same,16381.8,8190.9,3,1,cv_glmnet,2.69082921471719
same,16381.8,16381.8,3,1,cv_glmnet,2.52608456891818
same,16381.8,4095.45,3,2,cv_glmnet,2.69082921471719
same,16381.8,8190.9,3,2,cv_glmnet,2.8006589785832
same,16381.8,16381.8,3,2,cv_glmnet,2.52608456891818
same,16381.8,4095.45,3,3,cv_glmnet,2.69082921471719
same,16381.8,8190.9,3,3,cv_glmnet,2.63591433278418
same,16381.8,16381.8,3,3,cv_glmnet,2.52608456891818
same,25027.2,4095.45,3,1,cv_glmnet,2.94857964760877
same,25027.2,8190.9,3,1,cv_glmnet,2.69687162891046
same,25027.2,16381.8,3,1,cv_glmnet,2.73282991729594
same,25027.2,25027.2,3,1,cv_glmnet,2.76878820568141
same,25027.2,4095.45,3,2,cv_glmnet,2.84070478245236
same,25027.2,8190.9,3,2,cv_glmnet,2.80474649406688
same,25027.2,16381.8,3,2,cv_glmnet,2.76878820568141
same,25027.2,25027.2,3,2,cv_glmnet,2.76878820568141
same,25027.2,4095.45,3,3,cv_glmnet,2.9126213592233
same,25027.2,8190.9,3,3,cv_glmnet,2.69687162891046
same,25027.2,16381.8,3,3,cv_glmnet,2.76878820568141
same,25027.2,25027.2,3,3,cv_glmnet,2.76878820568141
same,16381.8,4095.45,4,1,cv_glmnet,3.02031850631521
same,16381.8,8190.9,4,1,cv_glmnet,2.63591433278418
same,16381.8,16381.8,4,1,cv_glmnet,2.63591433278418
same,16381.8,4095.45,4,2,cv_glmnet,2.69082921471719
same,16381.8,8190.9,4,2,cv_glmnet,2.58099945085118
same,16381.8,16381.8,4,2,cv_glmnet,2.58099945085118
same,16381.8,4095.45,4,3,cv_glmnet,2.63591433278418
same,16381.8,8190.9,4,3,cv_glmnet,2.52608456891818
same,16381.8,16381.8,4,3,cv_glmnet,2.63591433278418
same,25027.2,4095.45,4,1,cv_glmnet,3.09241280115067
same,25027.2,8190.9,4,1,cv_glmnet,2.19345559151384
same,25027.2,16381.8,4,1,cv_glmnet,2.1215390147429
same,25027.2,25027.2,4,1,cv_glmnet,2.1215390147429
same,25027.2,4095.45,4,2,cv_glmnet,3.09241280115067
same,25027.2,8190.9,4,2,cv_glmnet,2.15749730312837
same,25027.2,16381.8,4,2,cv_glmnet,2.04962243797195
same,25027.2,25027.2,4,2,cv_glmnet,2.08558072635743
same,25027.2,4095.45,4,3,cv_glmnet,2.22941387989932
same,25027.2,8190.9,4,3,cv_glmnet,2.1215390147429
same,25027.2,16381.8,4,3,cv_glmnet,2.15749730312837
same,25027.2,25027.2,4,3,cv_glmnet,2.1215390147429
same,16381.8,4095.45,5,1,cv_glmnet,2.69082921471719
same,16381.8,8190.9,5,1,cv_glmnet,2.58099945085118
same,16381.8,16381.8,5,1,cv_glmnet,2.41625480505217
same,16381.8,4095.45,5,2,cv_glmnet,2.58099945085118
same,16381.8,8190.9,5,2,cv_glmnet,2.63591433278418
same,16381.8,16381.8,5,2,cv_glmnet,2.47116968698517
same,16381.8,4095.45,5,3,cv_glmnet,2.52608456891818
same,16381.8,8190.9,5,3,cv_glmnet,2.30642504118616
same,16381.8,16381.8,5,3,cv_glmnet,2.41625480505217
same,25027.2,4095.45,5,1,cv_glmnet,2.62495505213952
same,25027.2,8190.9,5,1,cv_glmnet,2.58899676375405
same,25027.2,16381.8,5,1,cv_glmnet,2.48112189859763
same,25027.2,25027.2,5,1,cv_glmnet,2.40920532182668
same,25027.2,4095.45,5,2,cv_glmnet,3.09241280115067
same,25027.2,8190.9,5,2,cv_glmnet,2.44516361021215
same,25027.2,16381.8,5,2,cv_glmnet,2.40920532182668
same,25027.2,25027.2,5,2,cv_glmnet,2.44516361021215
same,25027.2,4095.45,5,3,cv_glmnet,2.48112189859763
same,25027.2,8190.9,5,3,cv_glmnet,2.48112189859763
same,25027.2,16381.8,5,3,cv_glmnet,2.37324703344121
same,25027.2,25027.2,5,3,cv_glmnet,2.40920532182668
same,16381.8,4095.45,6,1,cv_glmnet,3.02031850631521
same,16381.8,8190.9,6,1,cv_glmnet,2.8006589785832
same,16381.8,16381.8,6,1,cv_glmnet,2.74574409665019
same,16381.8,4095.45,6,2,cv_glmnet,2.63591433278418
same,16381.8,8190.9,6,2,cv_glmnet,2.96540362438221
same,16381.8,16381.8,6,2,cv_glmnet,2.8555738605162
same,16381.8,4095.45,6,3,cv_glmnet,3.02031850631521
same,16381.8,8190.9,6,3,cv_glmnet,2.74574409665019
same,16381.8,16381.8,6,3,cv_glmnet,2.74574409665019
same,25027.2,4095.45,6,1,cv_glmnet,2.62495505213952
same,25027.2,8190.9,6,1,cv_glmnet,2.87666307083783
same,25027.2,16381.8,6,1,cv_glmnet,2.76878820568141
same,25027.2,25027.2,6,1,cv_glmnet,2.76878820568141
same,25027.2,4095.45,6,2,cv_glmnet,2.87666307083783
same,25027.2,8190.9,6,2,cv_glmnet,2.84070478245236
same,25027.2,16381.8,6,2,cv_glmnet,2.84070478245236
same,25027.2,25027.2,6,2,cv_glmnet,2.87666307083783
same,25027.2,4095.45,6,3,cv_glmnet,2.73282991729594
same,25027.2,8190.9,6,3,cv_glmnet,2.84070478245236
same,25027.2,16381.8,6,3,cv_glmnet,2.87666307083783
same,25027.2,25027.2,6,3,cv_glmnet,2.87666307083783
same,16381.8,4095.45,7,1,cv_glmnet,2.96866410115448
same,16381.8,8190.9,7,1,cv_glmnet,2.47388675096207
same,16381.8,16381.8,7,1,cv_glmnet,2.63881253435954
same,16381.8,4095.45,7,2,cv_glmnet,2.36393622869709
same,16381.8,8190.9,7,2,cv_glmnet,2.3089609675646
same,16381.8,16381.8,7,2,cv_glmnet,2.58383727322705
same,16381.8,4095.45,7,3,cv_glmnet,2.52886201209456
same,16381.8,8190.9,7,3,cv_glmnet,2.58383727322705
same,16381.8,16381.8,7,3,cv_glmnet,2.58383727322705
same,25027.2,4095.45,7,1,cv_glmnet,2.87666307083783
same,25027.2,8190.9,7,1,cv_glmnet,2.66091334052499
same,25027.2,16381.8,7,1,cv_glmnet,2.48112189859763
same,25027.2,25027.2,7,1,cv_glmnet,2.33728874505574
same,25027.2,4095.45,7,2,cv_glmnet,2.69687162891046
same,25027.2,8190.9,7,2,cv_glmnet,2.55303847536857
same,25027.2,16381.8,7,2,cv_glmnet,2.22941387989932
same,25027.2,25027.2,7,2,cv_glmnet,2.33728874505574
same,25027.2,4095.45,7,3,cv_glmnet,3.09241280115067
same,25027.2,8190.9,7,3,cv_glmnet,2.66091334052499
same,25027.2,16381.8,7,3,cv_glmnet,2.5170801869831
same,25027.2,25027.2,7,3,cv_glmnet,2.48112189859763
same,16381.8,4095.45,8,1,cv_glmnet,2.8587135788895
same,16381.8,8190.9,8,1,cv_glmnet,3.13358988455195
same,16381.8,16381.8,8,1,cv_glmnet,2.96866410115448
same,16381.8,4095.45,8,2,cv_glmnet,3.02363936228697
same,16381.8,8190.9,8,2,cv_glmnet,3.02363936228697
same,16381.8,16381.8,8,2,cv_glmnet,2.96866410115448
same,16381.8,4095.45,8,3,cv_glmnet,2.8587135788895
same,16381.8,8190.9,8,3,cv_glmnet,2.91368884002199
same,16381.8,16381.8,8,3,cv_glmnet,2.96866410115448
same,25027.2,4095.45,8,1,cv_glmnet,2.87769784172662
same,25027.2,8190.9,8,1,cv_glmnet,2.23021582733813
same,25027.2,16381.8,8,1,cv_glmnet,2.26618705035971
same,25027.2,25027.2,8,1,cv_glmnet,2.0863309352518
same,25027.2,4095.45,8,2,cv_glmnet,2.19424460431655
same,25027.2,8190.9,8,2,cv_glmnet,2.26618705035971
same,25027.2,16381.8,8,2,cv_glmnet,2.0863309352518
same,25027.2,25027.2,8,2,cv_glmnet,1.97841726618705
same,25027.2,4095.45,8,3,cv_glmnet,2.44604316546763
same,25027.2,8190.9,8,3,cv_glmnet,2.19424460431655
same,25027.2,16381.8,8,3,cv_glmnet,2.19424460431655
same,25027.2,25027.2,8,3,cv_glmnet,2.15827338129496
same,16381.8,4095.45,9,1,cv_glmnet,2.96866410115448
same,16381.8,8190.9,9,1,cv_glmnet,2.91368884002199
same,16381.8,16381.8,9,1,cv_glmnet,2.69378779549203
same,16381.8,4095.45,9,2,cv_glmnet,2.96866410115448
same,16381.8,8190.9,9,2,cv_glmnet,2.80373831775701
same,16381.8,16381.8,9,2,cv_glmnet,2.69378779549203
same,16381.8,4095.45,9,3,cv_glmnet,2.96866410115448
same,16381.8,8190.9,9,3,cv_glmnet,3.02363936228697
same,16381.8,16381.8,9,3,cv_glmnet,2.69378779549203
same,25027.2,4095.45,9,1,cv_glmnet,2.41007194244604
same,25027.2,8190.9,9,1,cv_glmnet,2.23021582733813
same,25027.2,16381.8,9,1,cv_glmnet,2.15827338129496
same,25027.2,25027.2,9,1,cv_glmnet,2.12230215827338
same,25027.2,4095.45,9,2,cv_glmnet,2.9136690647482
same,25027.2,8190.9,9,2,cv_glmnet,2.23021582733813
same,25027.2,16381.8,9,2,cv_glmnet,2.26618705035971
same,25027.2,25027.2,9,2,cv_glmnet,2.0863309352518
same,25027.2,4095.45,9,3,cv_glmnet,2.26618705035971
same,25027.2,8190.9,9,3,cv_glmnet,2.19424460431655
same,25027.2,16381.8,9,3,cv_glmnet,2.23021582733813
same,25027.2,25027.2,9,3,cv_glmnet,2.12230215827338
same,16381.8,4095.45,10,1,cv_glmnet,2.14403518416712
same,16381.8,8190.9,10,1,cv_glmnet,2.14403518416712
same,16381.8,16381.8,10,1,cv_glmnet,2.3089609675646
same,16381.8,4095.45,10,2,cv_glmnet,2.63881253435954
same,16381.8,8190.9,10,2,cv_glmnet,2.63881253435954
same,16381.8,16381.8,10,2,cv_glmnet,2.3089609675646
same,16381.8,4095.45,10,3,cv_glmnet,2.96866410115448
same,16381.8,8190.9,10,3,cv_glmnet,2.58383727322705
same,16381.8,16381.8,10,3,cv_glmnet,2.3089609675646
same,25027.2,4095.45,10,1,cv_glmnet,2.9136690647482
same,25027.2,8190.9,10,1,cv_glmnet,2.69784172661871
same,25027.2,16381.8,10,1,cv_glmnet,2.58992805755396
same,25027.2,25027.2,10,1,cv_glmnet,2.44604316546763
same,25027.2,4095.45,10,2,cv_glmnet,2.73381294964029
same,25027.2,8190.9,10,2,cv_glmnet,2.51798561151079
same,25027.2,16381.8,10,2,cv_glmnet,2.48201438848921
same,25027.2,25027.2,10,2,cv_glmnet,2.48201438848921
same,25027.2,4095.45,10,3,cv_glmnet,3.02158273381295
same,25027.2,8190.9,10,3,cv_glmnet,2.55395683453237
same,25027.2,16381.8,10,3,cv_glmnet,2.48201438848921
same,25027.2,25027.2,10,3,cv_glmnet,2.44604316546763
